"Coord1","Coord2","Cost","Length"
"415827.6153845603-1126616.354163354","420587.6153845603-1108316.354163354","18908.929107699358","18908.929107699358"
"-490952.38461543916-2367356.3541633515","-479052.38461543916-2361256.3541633515","13372.35955244997","13372.35955244997"
"442007.6153845603-1082696.354163354","445577.6153845603-1069276.354163354","13886.73107682294","13886.73107682294"
"873977.6153845601-1551176.354163353","884687.6153845601-1558496.354163353","12972.528666378039","12972.528666378039"
"865647.6153845601-1514576.354163353","870407.6153845601-1526776.354163353","13095.709220962413","13095.709220962413"
"443197.6153845603-1086356.354163354","465807.6153845603-1085136.354163354","22642.89071651409","22642.89071651409"
"434867.6153845603-1015596.3541633543","442007.6153845603-1002176.3541633543","15201.184164399825","15201.184164399825"
"496747.6153845603-1179076.3541633538","501507.6153845603-1177856.3541633538","4913.857954804962","4913.857954804962"
"950137.6153845601-1340116.3541633536","953707.6153845601-1327916.3541633536","12711.604934075005","12711.604934075005"
"935857.6153845601-1498716.3541633533","937047.6153845601-1501156.3541633533","2714.7191383272047","2714.7191383272047"
"989407.6153845601-1469436.3541633533","996547.6153845601-1438936.3541633533","31324.584594212898","31324.584594212898"
"455097.6153845603-1137596.354163354","471757.6153845603-1135156.354163354","16837.73143864695","16837.73143864695"
"938237.6153845601-1518236.354163353","939427.6153845601-1519456.354163353","1704.2593699317015","1704.2593699317015"
"551487.6153845603-1041216.3541633543","606227.6153845603-1100996.354163354","81056.25207224902","81056.25207224902"
"530067.6153845603-1144916.354163354","537207.6153845603-1126616.354163354","19643.563831443622","19643.563831443622"
"220667.61538456043-1091236.354163354","243277.61538456043-1094896.354163354","22904.316187129447","22904.316187129447"
"183777.61538456043-1185176.3541633538","192107.61538456043-1185176.3541633538","8330.0","8330.0"
"326577.6153845603-1035116.3541633543","332527.6153845603-1015596.3541633543","20406.687629304273","20406.687629304273"
"249227.61538456043-974116.3541633543","264697.6153845604-992416.3541633543","23962.69809516449","23962.69809516449"
"362277.6153845603-1174196.3541633538","396787.6153845603-1179076.3541633538","34853.32839199149","34853.32839199149"
"-126812.38461543934-943616.3541633545","56447.615384560544-1000956.3541633543","192021.10092383059","192021.10092383059"
"541967.6153845603-1174196.3541633538","547917.6153845603-1175416.3541633538","6073.787944931894","6073.787944931894"
"290877.6153845603-933856.3541633545","295637.6153845603-939956.3541633545","7737.415589200311","7737.415589200311"
"156407.61538456043-1008276.3541633543","181397.61538456043-993636.3541633543","28962.55686226615","28962.55686226615"
"315867.6153845603-1121736.354163354","330147.6153845603-1116856.354163354","15090.818400603726","15090.818400603726"
"532447.6153845603-1147356.354163354","541967.6153845603-1152236.354163354","10697.887641959976","10697.887641959976"
"950137.6153845601-1513356.3541633533","958467.6153845601-1504816.3541633533","11929.81558952191","11929.81558952191"
"170687.61538456043-957036.3541633543","181397.61538456043-993636.3541633543","38134.81480222502","38134.81480222502"
"326577.6153845603-1021696.3541633543","347997.6153845603-1018036.3541633543","21730.439480139376","21730.439480139376"
"220667.61538456043-1079036.354163354","220667.61538456043-1091236.354163354","12200.0","12200.0"
"895397.6153845601-1554836.354163353","897777.6153845601-1557276.354163353","3408.518739863403","3408.518739863403"
"340857.6153845603-1099776.354163354","356327.6153845603-1097336.354163354","15661.241968630713","15661.241968630713"
"489607.6153845603-1043656.3541633543","490797.6153845603-1035116.3541633543","8622.511235133301","8622.511235133301"
"349187.6153845603-1036336.3541633543","350377.6153845603-1024136.3541633543","12257.899493795827","12257.899493795827"
"144507.61538456054-846016.3541633545","157597.61538456043-860656.3541633545","19638.678672456477","19638.678672456477"
"420587.6153845603-1168096.354163354","497937.6153845603-1181516.3541633538","78505.53419982565","78505.53419982565"
"242087.61538456043-1081476.354163354","244467.61538456043-1086356.354163354","5429.4382766544095","5429.4382766544095"
"-175602.38461543934-2125796.354163352","-123242.38461543934-2184356.354163352","78554.71468982623","78554.71468982623"
"553867.6153845603-1004616.3541633543","585997.6153845603-1085136.354163354","86693.75583050928","86693.75583050928"
"898967.6153845601-1457236.3541633533","900157.6153845601-1464556.3541633533","7416.0973564267615","7416.0973564267615"
"866837.6153845601-1503596.3541633533","876357.6153845601-1492616.3541633533","14532.405169138383","14532.405169138383"
"452717.6153845603-1259596.3541633538","519357.6153845603-1222996.3541633538","76029.26804856141","76029.26804856141"
"220667.61538456043-1079036.354163354","243277.61538456043-1094896.354163354","27617.959736374443","27617.959736374443"
"443197.6153845603-1024136.3541633543","494367.6153845603-987536.3541633543","62912.07276826921","62912.07276826921"
"-49462.384615439456-1795176.3541633526","-10192.384615439456-1798836.3541633526","39440.18889407098","39440.18889407098"
"446767.6153845603-1090016.354163354","466997.6153845603-1082696.354163354","21513.607321878866","21513.607321878866"
"572907.6153845603-1213236.3541633538","575287.6153845603-1215676.3541633538","3408.518739863403","3408.518739863403"
"358707.6153845603-1081476.354163354","358707.6153845603-1093676.354163354","12200.0","12200.0"
"85007.61538456054-1058296.3541633543","86197.61538456054-1075376.354163354","17121.40473208878","17121.40473208878"
"156407.61538456043-1008276.3541633543","170687.61538456043-957036.3541633543","53192.63106859822","53192.63106859822"
"376557.6153845603-1069276.354163354","384887.6153845603-1087576.354163354","20106.687942075394","20106.687942075394"
"935857.6153845601-1495056.3541633533","937047.6153845601-1491396.3541633533","3848.5971470134414","3848.5971470134414"
"458667.6153845603-1090016.354163354","465807.6153845603-1070496.354163354","20784.850252046563","20784.850252046563"
"545537.6153845603-1025356.3541633543","585997.6153845603-1085136.354163354","72184.90146838168","72184.90146838168"
"36217.615384560544-958256.3541633543","70727.61538456054-988756.3541633543","46056.379579815","46056.379579815"
"408687.6153845603-1054636.3541633543","428917.6153845603-1049756.3541633543","20810.269099653662","20810.269099653662"
"-149422.38461543934-2173376.354163352","-123242.38461543934-2184356.354163352","28389.30784644106","28389.30784644106"
"-43512.384615439456-937516.3541633545","61207.615384560544-966796.3541633543","108736.36374277","108736.36374277"
"293257.6153845603-915556.3541633545","295637.6153845603-939956.3541633545","24515.798987591654","24515.798987591654"
