"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cauriga"
"3","7","769455.773647842","769455.773647842","0.011742883320577626"
"3","6","757091.1556741362","757091.1556741362","0.008546064681612696"
"3","5","750569.263692565","750569.263692565","0.012785929904867929"
"3","4","753636.5525238271","753636.5525238271","0.008661055770000006"
"3","11","560531.9252281707","560531.9252281707","0.0292434072606666"
"3","40","772494.6790755244","772494.6790755244","0.009308118447581504"
"3","35","735365.8855970937","735365.8855970937","0.009717868229074646"
"3","44","818620.8649307671","818620.8649307671","0.008004607080967284"
"3","37","744200.9514237385","744200.9514237385","0.010421127498939232"
"3","16","421134.3083862909","421134.3083862909","0.08043531906200488"
"3","31","582477.9539175696","582477.9539175696","0.03531475468661878"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512"
"3","22","388316.6280240898","388316.6280240898","0.08981964252214236"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193"
"3","17","103311.43789532656","103311.43789532656","0.5265824691200908"
"3","9","181077.77362227507","181077.77362227507","0.31948905678886313"
"3","33","148630.45347438054","148630.45347438054","0.3919697050585999"
"1","7","772009.4738408326","772009.4738408326","0.011555432285772889"
"1","6","759469.4864838213","759469.4864838213","0.008418942609217151"
"1","5","752881.5987258549","752881.5987258549","0.012600979329813562"
"1","4","755925.435476277","755925.435476277","0.008537033681713902"
"1","11","562629.2727009497","562629.2727009497","0.02885946629088117"
"1","40","778564.648632339","778564.648632339","0.0089588156905219"
"1","35","741400.0145670339","741400.0145670339","0.009355301521095342"
"1","44","824723.4341280701","824723.4341280701","0.007702638325372838"
"1","37","750303.774747267","750303.774747267","0.010027980975909104"
"1","16","425986.5091760531","425986.5091760531","0.07801319774968832"
"1","3","1220.0","1220.0","0.992341841902014"
"1","2","44301.09366595818","44301.09366595818","0.7564217672461795"
"1","31","588469.5007389919","588469.5007389919","0.034006309968501174"
"1","23","396904.7620021701","396904.7620021701","0.08200040758301703"
"1","22","393996.04934567463","393996.04934567463","0.08666202075998554"
"1","21","394446.6586244575","394446.6586244575","0.08328042753598372"
"1","20","390963.3897182693","390963.3897182693","0.08512857943523855"
"1","10","218312.2765673058","218312.2765673058","0.2526729168826208"
"1","17","108045.3353921395","108045.3353921395","0.5111065430572483"
"1","9","183914.79005234977","183914.79005234977","0.3138283005220264"
"1","33","149219.75505944245","149219.75505944245","0.39051686841639904"
"4","43","826208.6928252437","826208.6928252437","0.005790383122547258"
"4","50","671559.0455797602","671559.0455797602","0.0205655666251247"
"4","38","621495.6218671203","621495.6218671203","0.02010651071835493"
"4","57","548382.5603536266","548382.5603536266","0.03227128209423963"
"4","36","601656.6423633989","601656.6423633989","0.02268717817027288"
"4","7","30788.77717610753","30788.77717610753","0.8236492627010376"
"4","6","9760.0","9760.0","0.9510863503193664"
"4","5","1190.0","1190.0","1.0059004898570132"
"4","11","154942.5135332455","154942.5135332455","0.3766853146943388"
"4","42","701544.9342700711","701544.9342700711","0.012330684792751973"
"4","41","643971.323895714","643971.323895714","0.01728560892940385"
"4","39","783694.0276026087","783694.0276026087","0.007166621316300709"
"4","34","783226.3294859275","783226.3294859275","0.007187773390972844"
"4","32","774759.0619670085","774759.0619670085","0.007581693237933019"
"4","45","527638.2413169077","527638.2413169077","0.03597874602927826"
"4","30","465938.8720637071","465938.8720637071","0.0530755811112094"
"4","28","414410.9353045593","414410.9353045593","0.07587983626610105"
"4","26","808708.5143610144","808708.5143610144","0.0061215148009909764"
"4","27","524294.2990344254","524294.2990344254","0.03674490904313581"
"4","29","312661.49315193854","312661.49315193854","0.13943095457570737"
"4","24","759042.2083784268","759042.2083784268","0.008371003450371887"
"4","25","406918.91723044764","406918.91723044764","0.07698585016281304"
"4","18","284921.97949614195","284921.97949614195","0.1660627254428624"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058"
"4","13","608629.6138868035","608629.6138868035","0.02228216861387836"
"4","15","374925.17133422755","374925.17133422755","0.09682647277551709"
"4","14","547554.9375176885","547554.9375176885","0.032741353901882084"
"4","12","546354.3909405321","546354.3909405321","0.03299053357356429"
"4","8","198860.67585120985","198860.67585120985","0.29364229200759373"
"4","16","417644.3257126808","417644.3257126808","0.08131038089269937"
"4","23","868800.9464198338","868800.9464198338","0.0041918696703548185"
"4","22","865835.5454126373","865835.5454126373","0.004270935331809236"
"4","21","872362.0102342828","872362.0102342828","0.004098853865768495"
"4","20","867116.127459292","867116.127459292","0.00423661020779437"
"4","10","831409.6466243336","831409.6466243336","0.005305595800039102"
"4","17","773561.5732441725","773561.5732441725","0.007639119426476636"
"4","9","886670.8702218649","886670.8702218649","0.0037454524588227036"
"4","33","889352.911953404","889352.911953404","0.003682684518486114"
"5","43","825948.4247820791","825948.4247820791","0.005799887356118928"
"5","50","668310.5272251803","668310.5272251803","0.021213422020248705"
"5","38","619613.2936759819","619613.2936759819","0.020346417763596837"
"5","57","546484.270587909","546484.270587909","0.03243721493574054"
"5","36","599960.0333355538","599960.0333355538","0.022931025834772144"
"5","7","29861.91052159925","29861.91052159925","0.8284738616028281"
"5","6","7697.194294026883","7697.194294026883","0.9635485238136453"
"5","11","152031.29151592433","152031.29151592433","0.3836592250389169"
"5","42","700162.9536757842","700162.9536757842","0.012438533334721363"
"5","41","642350.6202223195","642350.6202223195","0.017463044464768585"
"5","39","783894.7850317658","783894.7850317658","0.007157560982726374"
"5","34","784323.9611920565","784323.9611920565","0.0071382303394929465"
"5","32","776536.7476172644","776536.7476172644","0.00749723854597432"
"5","45","528132.1319518434","528132.1319518434","0.03586694804697064"
"5","30","466233.179857461","466233.179857461","0.05297724191541743"
"5","28","414531.9505176888","414531.9505176888","0.07582199556424171"
"5","26","811055.4866961933","811055.4866961933","0.006031649464852659"
"5","27","526083.9530911387","526083.9530911387","0.03633285656827085"
"5","29","312992.30022478144","312992.30022478144","0.13914060968214348"
"5","24","761732.7523482229","761732.7523482229","0.008230277538378824"
"5","25","408806.1228748903","408806.1228748903","0.07607576261110947"
"5","18","286027.5624830585","286027.5624830585","0.16490984473130366"
"5","19","316587.05595775694","316587.05595775694","0.13602425716730643"
"5","13","611775.4114051983","611775.4114051983","0.02117352601670903"
"5","15","377962.7177381387","377962.7177381387","0.0923960696226516"
"5","14","550774.3110385594","550774.3110385594","0.031097896511369304"
"5","12","549680.5985297278","549680.5985297278","0.03131295885551068"
"5","8","201748.78463078768","201748.78463078768","0.28047034428723894"
"5","16","413477.64207995555","413477.64207995555","0.08347351338692838"
"5","23","864692.3730437311","864692.3730437311","0.004301812157977984"
"5","22","861729.6023695595","861729.6023695595","0.004382878873185284"
"5","21","868261.0015427383","868261.0015427383","0.0042061562740677025"
"5","20","863016.7796746475","863016.7796746475","0.004347473388778495"
"5","10","827682.7590327101","827682.7590327101","0.005431669000707658"
"5","17","770026.652071212","770026.652071212","0.00805176877811996"
"5","9","883145.1787786644","883145.1787786644","0.003947544420344689"
"5","33","886034.2140685082","886034.2140685082","0.004069507932859239"
"6","43","815132.2918397957","815132.2918397957","0.006208967422701382"
"6","50","660056.6672642573","660056.6672642573","0.022111515315427148"
"6","38","609252.6117301416","609252.6117301416","0.021719077548570574"
"6","57","536136.9560103081","536136.9560103081","0.03486004836646634"
"6","36","589456.135772628","589456.135772628","0.024500154960619226"
"6","7","19003.03396829043","19003.03396829043","0.8902962939530021"
"6","11","159218.81798330235","159218.81798330235","0.3720428627296255"
"6","42","689475.5915186544","689475.5915186544","0.01330505266299014"
"6","41","631795.9823392347","631795.9823392347","0.018663975910117477"
"6","39","773244.5369997763","773244.5369997763","0.007654395750759317"
"6","34","774355.7787606409","774355.7787606409","0.007600984518545429"
"6","32","767428.8326613739","767428.8326613739","0.007940107462845366"
"6","45","517658.1497474944","517658.1497474944","0.03831403607994904"
"6","30","455638.62917886977","455638.62917886977","0.056634722472039475"
"6","28","403851.1790251449","403851.1790251449","0.08110069906154443"
"6","26","802936.2465974487","802936.2465974487","0.008718076835680091"
"6","27","517012.406911091","517012.406911091","0.03847025518950659"
"6","29","302427.5926564898","302427.5926564898","0.14871872877284073"
"6","24","754362.9367883864","754362.9367883864","0.011981861855630832"
"6","25","399904.58124407614","399904.58124407614","0.08075056232290916"
"6","18","276109.98261562356","276109.98261562356","0.17554456669344004"
"6","19","307269.6717868523","307269.6717868523","0.14424961239381484"
"6","13","605638.7784810344","605638.7784810344","0.022008321388709274"
"6","15","371561.4490229037","371561.4490229037","0.09654069044167657"
"6","14","544875.3091304466","544875.3091304466","0.03227560835044223"
"6","12","544131.4521326623","544131.4521326623","0.03259626864777082"
"6","8","195054.57723416787","195054.57723416787","0.2935928787302593"
"6","46","892409.1563851178","892409.1563851178","0.03324033844974363"
"6","16","414953.9020180432","414953.9020180432","0.08280265939009815"
"6","23","866618.0708939775","866618.0708939775","0.00424992736822032"
"6","22","863676.36276559","863676.36276559","0.004329441674595649"
"6","21","870245.8882407886","870245.8882407886","0.004153875648476945"
"6","20","865015.0373259409","865015.0373259409","0.00429307452739762"
"6","10","831845.661165579","831845.661165579","0.005460058720919081"
"6","17","775001.1856119959","775001.1856119959","0.00757013464610602"
"6","9","888145.6486410318","888145.6486410318","0.003710806910806463"
"6","33","891773.5177162411","891773.5177162411","0.00849499910802563"
"8","63","817215.3072477274","817215.3072477274","0.005802015777871073"
"8","43","691130.9606724315","691130.9606724315","0.013564564577002848"
"8","50","695876.0166150276","695876.0166150276","0.014682014699439623"
"8","38","565627.5040165557","565627.5040165557","0.02831934644913514"
"8","57","502299.7113278078","502299.7113278078","0.046681364427290956"
"8","36","540637.9794280078","540637.9794280078","0.03314900271665317"
"8","11","356665.0026285167","356665.0026285167","0.10566656708900644"
"8","42","620990.2618399088","620990.2618399088","0.020349392219314904"
"8","41","577570.9484556842","577570.9484556842","0.02693932350679262"
"8","39","632233.0867646825","632233.0867646825","0.018612639655064073"
"8","34","602467.3937235101","602467.3937235101","0.02245255899450279"
"8","32","577573.5928866548","577573.5928866548","0.026265829802804234"
"8","45","373417.66696287884","373417.66696287884","0.09508054194658762"
"8","30","323323.01742993755","323323.01742993755","0.1303714470701413"
"8","28","283015.95856064325","283015.95856064325","0.16857125038046697"
"8","26","602405.3805370594","602405.3805370594","0.022461334406716913"
"8","27","329193.39802006923","329193.39802006923","0.12563695129984082"
"8","29","190334.88067088445","190334.88067088445","0.30531801657479596"
"8","24","550753.6654439982","550753.6654439982","0.031101942451334536"
"8","25","211321.01551904387","211321.01551904387","0.2640530771152949"
"8","18","129878.506304931","129878.506304931","0.44113321786610354"
"8","19","134661.4391724669","134661.4391724669","0.4280363125992564"
"8","13","401985.84054665384","401985.84054665384","0.07941653726295958"
"8","15","167602.05845991266","167602.05845991266","0.34780363674002046"
"8","14","342019.92763580295","342019.92763580295","0.11588196274237614"
"8","12","342719.9999999998","342719.9999999998","0.11537188780764289"
"8","16","595563.4039294218","595563.4039294218","0.030933039855049343"
"2","7","728435.7037515385","728435.7037515385","0.013164652897588964"
"2","6","714171.9493931411","714171.9493931411","0.01126907008280575"
"2","5","706957.3201403315","706957.3201403315","0.01647195157644362"
"2","4","709764.0467084813","709764.0467084813","0.011419153953043007"
"2","11","515415.00143088534","515415.00143088534","0.04535236129981139"
"2","40","813935.7422425909","813935.7422425909","0.009445821683736092"
"2","35","777952.5695053637","777952.5695053637","0.00964290141802191"
"2","44","858452.9967913195","858452.9967913195","0.005047441791397302"
"2","37","783999.8964923385","783999.8964923385","0.009679240731966524"
"2","16","414360.8330911593","414360.8330911593","0.08043145056432449"
"2","3","47165.90399854539","47165.90399854539","0.7428892498793642"
"2","31","626497.0187478934","626497.0187478934","0.023663388470586785"
"2","23","439555.11520172213","439555.11520172213","0.06267545641262391"
"2","22","436551.18657495274","436551.18657495274","0.06493719443350118"
"2","21","437403.36132681835","437403.36132681835","0.06353105584057213"
"2","20","433700.40961474687","433700.40961474687","0.06503089112340633"
"2","10","264379.686246882","264379.686246882","0.189011812718154"
"2","17","155496.78999902177","155496.78999902177","0.37850873336133056"
"2","9","232070.58172030307","232070.58172030307","0.23168996090817034"
"2","33","193594.28607270413","193594.28607270413","0.295258796073285"
"10","50","866509.7221035655","866509.7221035655","0.006790723518611683"
"10","11","651506.6612092309","651506.6612092309","0.01648402275878674"
"10","55","867890.0448789563","867890.0448789563","0.004215999762671611"
"10","54","863094.7428874752","863094.7428874752","0.004360307101436036"
"10","51","826960.9118331998","826960.9118331998","0.005456431783003517"
"10","53","829599.9999999984","829599.9999999984","0.0053664428096199595"
"10","62","821910.9937821719","821910.9937821719","0.005632854316440459"
"10","52","834636.8942839738","834636.8942839738","0.005198790989731548"
"10","48","808026.5278442269","808026.5278442269","0.006147878174158725"
"10","49","790649.5580217555","790649.5580217555","0.006859298453891754"
"10","40","576729.307734572","576729.307734572","0.02902125678026778"
"10","35","537587.0389992667","537587.0389992667","0.03379245791877308"
"10","47","775270.6110771889","775270.6110771889","0.010434803580290619"
"10","46","752825.268438831","752825.268438831","0.018677201163592075"
"10","44","626324.0784130837","626324.0784130837","0.01939098503857127"
"10","37","552788.4850464948","552788.4850464948","0.0329743450453496"
"10","16","414183.3962147684","414183.3962147684","0.0849127853846448"
"10","31","383754.0175685452","383754.0175685452","0.0890850475121965"
"10","23","181783.89505123888","181783.89505123888","0.31807064505939553"
"10","22","179339.99999999953","179339.99999999953","0.32648273176366416"
