"Coord1","Coord2","Cost","Length"
"396787.6153845603-1082696.354163354","397977.6153845603-1071716.354163354","11044.297170938493","11044.297170938493"
"181397.61538456043-1186396.3541633538","192107.61538456043-1185176.3541633538","10779.262497963393","10779.262497963393"
"336097.6153845603-1081476.354163354","339667.6153845603-1077816.354163354","5112.778109795105","5112.778109795105"
"869217.6153845601-1491396.3541633533","877547.6153845601-1501156.3541633533","12831.465231999033","12831.465231999033"
"-172032.38461543934-2228276.3541633515","-141092.38461543934-2241696.3541633515","33725.064862799","33725.064862799"
"434867.6153845603-1015596.3541633543","442007.6153845603-1002176.3541633543","15201.184164399825","15201.184164399825"
"-270802.3846154393-2029416.3541633522","-268422.3846154393-2026976.3541633522","3408.518739863403","3408.518739863403"
"547917.6153845603-1292536.3541633536","549107.6153845603-1276676.3541633538","15904.58110105364","15904.58110105364"
"344427.6153845603-1041216.3541633543","350377.6153845603-1031456.3541633543","11430.664897546423","11430.664897546423"
"-39942.384615439456-937516.3541633545","70727.61538456054-981436.3541633543","119066.43229726831","119066.43229726831"
"547917.6153845603-889936.3541633545","618127.6153845603-774036.3541633547","135507.39500115832","135507.39500115832"
"451527.6153845603-1069276.354163354","461047.6153845603-1069276.354163354","9520.0","9520.0"
"263507.6153845604-978996.3541633543","264697.6153845604-992416.3541633543","13472.657495832067","13472.657495832067"
"421777.6153845603-715476.3541633547","484847.6153845603-770376.3541633547","83617.19261013252","83617.19261013252"
"328957.6153845603-936296.3541633545","333717.6153845603-907016.3541633545","29664.389425707046","29664.389425707046"
"-250572.38461543928-898476.3541633545","-248192.38461543928-892376.3541633545","6547.854610481207","6547.854610481207"
"-494522.38461543916-2336856.3541633515","-485002.38461543916-2336856.3541633515","9520.0","9520.0"
"537207.6153845603-1099776.354163354","539587.6153845603-1097336.354163354","3408.518739863403","3408.518739863403"
"154027.61538456043-820396.3541633547","273027.6153845604-913116.3541633545","150857.5433977365","150857.5433977365"
"938237.6153845601-1518236.354163353","939427.6153845601-1519456.354163353","1704.2593699317015","1704.2593699317015"
"578857.6153845603-1179076.3541633538","580047.6153845603-1191276.3541633538","12257.899493795827","12257.899493795827"
"-366002.3846154392-1257156.3541633538","-318402.3846154392-1578016.354163353","324371.54560780997","324371.54560780997"
"-255332.38461543928-2048936.3541633522","-220822.38461543934-2034296.3541633522","37486.92705464127","37486.92705464127"
"973937.6153845601-1504816.3541633533","983457.6153845601-1506036.3541633533","9597.853926790092","9597.853926790092"
"-175602.38461543934-2241696.3541633515","-173222.38461543934-2245356.3541633515","4365.775990588615","4365.775990588615"
"547917.6153845603-1004616.3541633543","782347.6153845601-1364516.3541633536","429517.6770518291","429517.6770518291"
"54067.615384560544-1053416.3541633543","86197.61538456054-1075376.354163354","38917.58599913399","38917.58599913399"
"613367.6153845603-1197376.3541633538","619317.6153845603-1181516.3541633538","16939.365395433208","16939.365395433208"
"386077.6153845603-1158336.354163354","396787.6153845603-1179076.3541633538","23342.058606729406","23342.058606729406"
"643117.6153845603-1016816.3541633543","677627.6153845601-1026576.3541633543","35863.59853667761","35863.59853667761"
"544347.6153845603-1125396.354163354","552677.6153845603-1096116.354163354","30441.867551121104","30441.867551121104"
"-343392.3846154392-2331976.3541633515","-306502.3846154392-2325876.3541633515","37390.936067448216","37390.936067448216"
"-123242.38461543934-955816.3541633543","52877.615384560544-961916.3541633543","176225.60653889083","176225.60653889083"
"543157.6153845603-764276.3541633547","544347.6153845603-885056.3541633545","120785.86216937786","120785.86216937786"
"412257.6153845603-1069276.354163354","431297.6153845603-1069276.354163354","19040.0","19040.0"
"574097.6153845603-946056.3541633543","643117.6153845603-1016816.3541633543","98847.04345603868","98847.04345603868"
"-346962.3846154392-2336856.3541633515","-319592.3846154392-2324656.3541633515","29965.928986100196","29965.928986100196"
"-351722.3846154392-1720756.3541633529","-344582.3846154392-1700016.3541633529","21934.611918153463","21934.611918153463"
"-260092.38461543928-2044056.3541633522","-220822.38461543934-2034296.3541633522","40464.68213145873","40464.68213145873"
"144507.61538456054-846016.3541633545","157597.61538456043-860656.3541633545","19638.678672456477","19638.678672456477"
"239707.61538456043-925316.3541633545","262317.6153845604-866756.3541633545","62773.288108876375","62773.288108876375"
"428917.6153845603-1168096.354163354","537207.6153845603-1308396.3541633536","177230.96258836906","177230.96258836906"
"-594482.3846154391-1153456.354163354","-571872.3846154391-1164436.354163354","25135.085040635928","25135.085040635928"
"935857.6153845601-1498716.3541633533","954897.6153845601-1498716.3541633533","19040.0","19040.0"
