"Coord1","Coord2","Cost","Length"
"424867.6153845603-1048656.3541633543","432867.6153845603-1067656.354163354","20615.528128088088","20615.528128088088"
"524867.6153845603-840656.3541633545","546867.6153845603-752656.3541633547","90708.32376358831","90708.32376358831"
"538867.6153845603-1174656.3541633538","541867.6153845603-1192656.3541633538","18248.28759089466","18248.28759089466"
"590867.6153845603-1034656.3541633543","741867.6153845601-1230656.3541633538","247420.6943648808","247420.6943648808"
"142867.61538456054-833656.3541633545","249867.61538456043-926656.3541633545","141767.41515595175","141767.41515595175"
"356867.6153845603-1096656.354163354","358867.6153845603-1093656.354163354","3605.5512754639894","3605.5512754639894"
"570867.6153845603-901656.3541633545","613867.6153845603-767656.3541633547","140730.23839957046","140730.23839957046"
"82867.61538456054-929656.3541633545","133867.61538456054-926656.3541633545","51088.1590977792","51088.1590977792"
"949867.6153845601-1325656.3541633536","952867.6153845601-1336656.3541633536","11401.75425099138","11401.75425099138"
"492867.6153845603-2297656.3541633515","499867.6153845603-2287656.3541633515","12206.555615733703","12206.555615733703"
"-38132.384615439456-929656.3541633545","-34132.384615439456-925656.3541633545","5656.85424949238","5656.85424949238"
"952867.6153845601-1350656.3541633536","961867.6153845601-1350656.3541633536","9000.0","9000.0"
"-375132.3846154392-2138656.354163352","-374132.3846154392-2142656.354163352","4123.105625617661","4123.105625617661"
"423867.6153845603-970656.3541633543","447867.6153845603-983656.3541633543","27294.688127912363","27294.688127912363"
"247867.61538456043-1270656.3541633538","302867.6153845603-1213656.3541633538","79208.58539325133","79208.58539325133"
"290867.6153845603-922656.3541633545","323867.6153845603-939656.3541633545","37121.42238654117","37121.42238654117"
"782867.6153845601-1200656.3541633538","791867.6153845601-1160656.354163354","40999.999999999774","40999.999999999774"
"78867.61538456054-891656.3541633545","82867.61538456054-929656.3541633545","38209.9463490856","38209.9463490856"
"60867.615384560544-1050656.3541633543","87867.61538456054-1066656.354163354","31384.709652950314","31384.709652950314"
"533867.6153845603-1113656.354163354","558867.6153845603-1098656.354163354","29154.759474226503","29154.759474226503"
"-349132.3846154392-2177656.354163352","-331132.3846154392-2221656.3541633515","47539.45729601842","47539.45729601842"
"78867.61538456054-891656.3541633545","133867.61538456054-926656.3541633545","65192.024052026485","65192.024052026485"
"-351132.3846154392-1193656.3541633538","-340132.3846154392-1189656.3541633538","11704.699910719624","11704.699910719624"
"378867.6153845603-1193656.3541633538","394867.6153845603-1168656.354163354","29681.644159311465","29681.644159311465"
"412867.6153845603-1173656.3541633538","536867.6153845603-1308656.3541633536","183305.75550156613","183305.75550156613"
"-550132.3846154391-2327656.3541633515","-529132.3846154391-2334656.3541633515","22135.943621178656","22135.943621178656"
"424867.6153845603-995656.3541633543","447867.6153845603-983656.3541633543","25942.243542145694","25942.243542145694"
"415867.6153845603-1106656.354163354","417867.6153845603-1107656.354163354","2236.06797749979","2236.06797749979"
"416867.6153845603-975656.3541633543","443867.6153845603-973656.3541633543","27073.972741361766","27073.972741361766"
"-208132.38461543934-2073656.354163352","-204132.38461543934-2084656.354163352","11704.699910719624","11704.699910719624"
"783867.6153845601-1779656.3541633526","814867.6153845601-1823656.3541633524","53823.78656319137","53823.78656319137"
"-83132.38461543934-1816656.3541633526","-37132.384615439456-1821656.3541633526","46270.94120503698","46270.94120503698"
"-64132.38461543934-846656.3541633545","-38132.384615439456-929656.3541633545","86977.0084562581","86977.0084562581"
"-384132.3846154392-2159656.354163352","-374132.3846154392-2142656.354163352","19723.08292331602","19723.08292331602"
"-206132.38461543934-2065656.354163352","-191132.38461543934-2058656.354163352","16552.94535724685","16552.94535724685"
"-64132.38461543934-846656.3541633545","-34132.384615439456-925656.3541633545","84504.43775329195","84504.43775329195"
"-680132.384615439-2128656.354163352","-671132.384615439-2107656.354163352","22847.319317591726","22847.319317591726"
"-384132.3846154392-2159656.354163352","-375132.3846154392-2138656.354163352","22847.319317591726","22847.319317591726"
"-134132.38461543934-1736656.3541633529","-132132.38461543934-1749656.3541633526","13152.946437965675","13152.946437965675"
"423867.6153845603-970656.3541633543","424867.6153845603-995656.3541633543","25019.992006393608","25019.992006393608"
"577867.6153845603-1185656.3541633538","618867.6153845603-1181656.3541633538","41194.659848091964","41194.659848091964"
"494867.6153845603-1050656.3541633543","499867.6153845603-1052656.3541633543","5385.164807134504","5385.164807134504"
"818867.6153845601-2575656.354163351","819867.6153845601-2573656.354163351","2236.06797749979","2236.06797749979"
"-182132.38461543934-2131656.354163352","-176132.38461543934-2126656.354163352","7810.249675906654","7810.249675906654"
"854867.6153845601-1800656.3541633526","865867.6153845601-1794656.3541633526","12529.964086141668","12529.964086141668"
