"ID1","ID2","Dist","DistM","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","CF_beta0_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki"
"5","25","447889.4952999006","447889.4952999006","2.643022985230691E-90","1.6257376741746163E-45","1.2145634464692432E-18","124.17964439810909","5.5119720436986326E-9"
"5","39","436945.076640073","436945.076640073","4.0830497533894134E-88","2.0206557731066945E-44","3.3281043470521238E-18","53.71048091339528","8.764808979021712E-9"
"5","10","208830.0744624677","208830.0744624677","1.713898534805689E-42","1.309159476460255E-21","4.434013606670853E-9","30.627438867656533","1.4098666836159462E-4"
"5","15","131015.26628603201","131015.26628603201","6.26537028195649E-27","7.915409201018284E-14","5.74631393101546E-6","39.323378078343815","0.0038377916162926763"
"5","7","1000.0","1000.0","0.6309573444801932","0.7943282347242815","0.9120108393559098","108.4611123278909","0.9584291678696815"
"5","6","18681.541692269406","18681.541692269406","1.8352349088273046E-4","0.013547084220699687","0.17895273172471282","43.368150187493896","0.45238977939749314"
"5","24","414999.9999999991","414999.9999999991","1.0000000000004234E-83","3.162277660169049E-42","2.5118866992582035E-17","29.352432121759474","2.2273779732466656E-8"
"5","29","318127.33299733844","318127.33299733844","2.3688273055253872E-64","1.5390995112485052E-32","1.883244380115359E-13","30.721087848359016","1.3606267941099764E-6"
"5","22","394182.6987578214","394182.6987578214","1.4570023372224113E-79","3.8170699983395794E-40","1.7088032041467343E-16","24.6329573625102","5.3861662885263304E-8"
"5","13","312621.1765060062","312621.1765060062","2.990643863629017E-63","5.46867796055776E-32","3.127180431126817E-13","30.493100337106807","1.7189863294778916E-6"
"5","14","355015.4926196879","355015.4926196879","9.928907759160986E-72","3.1510169404750884E-36","6.3005765897331285E-15","25.057029928447275","2.841333238755226E-7"
"5","9","207086.93826506732","207086.93826506732","3.8248318486138774E-42","1.9557177323463317E-21","5.2062194388633995E-9","30.853123079737315","1.5181736200475633E-4"
"5","8","206634.94380186475","206634.94380186475","4.709895155410001E-42","2.170229286368148E-21","5.427530191001339E-9","30.90252791382525","1.5475910473399738E-4"
"5","17","322490.3099319417","322490.3099319417","3.1764206711584257E-65","5.6359743356037614E-33","1.2600494894708352E-13","23.33744613237985","1.1305397085648294E-6"
"5","11","21095.023109728987","21095.023109728987","6.0394220193349954E-5","0.007771371834711678","0.14328445482736496","39.57974477441545","0.4083271341809169"
"5","12","39395.43120718442","39395.43120718442","1.3210332796656289E-8","1.1493621185969324E-4","0.026557228586942278","24.069759274502843","0.18773667433530936"
"2","25","420529.4282211409","420529.4282211409","7.836359578389291E-85","8.852321491218725E-43","1.5094644512499292E-17","132.10194021553775","1.7612704053642023E-8"
"2","39","436963.3851937702","436963.3851937702","4.0487686473488055E-88","2.0121552244667423E-44","3.3224969600200287E-18","53.71850899551035","8.757998090308892E-9"
"2","10","249018.07163336515","249018.07163336515","1.5717579775933788E-50","1.25369772177881E-25","1.0946546712152232E-10","26.250258363046996","2.5592473917324317E-5"
"2","15","172037.78654702532","172037.78654702532","3.912394958418088E-35","6.254914034915339E-18","1.3136768240011446E-7","30.789618453900854","6.723989443255968E-4"
