"Id","Area","Perim","Capacity","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","Dg_Cvroliki","CF_beta0_Cvroliki","F_d20000_p0.01_beta1_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki","d_EC_d524300_p1.0E-10_Cvroliki","Cvroliki_cluster21","BC_d654500_p1.0E-10_beta0_Clunulatus"
"1","2000000.0","6000.0","2000000.0","6.309573444801935E-4","0.025118864315095805","0.22908676527677732","20.0","269.23563728225594","1.0364301964749347E7","0.5069444281285975","6.323337054091781E-8","172","0.5695588166942839"
"2","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","20.0","243.6597085073527","3248591.0554847913","0.0","9.080935674348102E-8","172","0.0"
"3","1.88E8","76000.0","1.88E8","0.0","0.0","0.0","18.0","104.98703820902743","0.002567049631960121","0.0","2.130692698253375E-5","245","0.0"
"4","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","20.0","263.564368356349","8068995.191443685","0.0","1.246607222509648E-7","172","0.0"
"5","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","20.0","265.8280880277721","3404678.2537588794","0.0","8.67795860051979E-8","172","0.0"
"6","1.1E7","16000.0","1.1E7","0.0","0.0","0.0","20.0","266.89485799822785","5438431.8650515685","0.0","3.151276746197355E-7","172","0.0"
"7","4000000.0","8000.0","4000000.0","1.9244660497554127E-137","4.3868736587180313E-69","4.537974688948278E-28","20.0","265.75924216665516","3392111.9363011154","2.4843222000438164E-13","8.637156378080711E-8","172","3.6106157700912885E-11"
"8","3000000.0","8000.0","3000000.0","0.0","0.0","0.0","22.0","340.12770478312086","6779098.381314934","0.0","3.9245811808645206E-7","214","0.0"
"9","4000000.0","8000.0","4000000.0","9.579881553822942E-122","3.095138373937899E-61","6.25564498697124E-25","22.0","369.8701326354684","9547871.24671945","6.9567694269166136E-12","5.261090944185767E-7","214","0.0"
"10","9000000.0","14000.0","9000000.0","0.0","0.0","0.0","22.0","344.4091024456237","4381166.502236574","0.0","1.148634013709895E-6","214","0.0"
"11","8000000.0","14000.0","8000000.0","0.0","0.0","0.0","20.0","283.3326208608334","7543529.52383801","0.0","2.408016057625323E-7","172","0.0"
"12","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","20.0","245.83095477109495","3381130.184024004","0.0","9.269495886051228E-8","172","0.0"
"13","1.2E7","20000.0","1.2E7","1.0078572109074828E-120","1.3788540459545885E-60","1.7108453020274617E-24","23.0","494.6322432913806","3.3695403730632386E9","1.612460959755795E-11","5.6402953163083624E-5","245","1.5893237652871747E-11"
"14","4.84E8","106000.0","4.84E8","0.0","0.0","0.0","23.0","347.62990098065865","76286.91540305004","0.0","3.736535578263859E-4","245","0.0"
"15","5.37E8","106000.0","5.37E8","4.999492271204665E-118","3.910559521616476E-59","9.741888152795958E-24","23.0","378.7154494077283","383.57643386250345","5.630431492129136E-11","1.6934132240285243E-4","214","5.944059740422414E-12"
"16","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","16.0","370.0807039389432","3585015.1671899804","0.0","5.919370505830169E-8","251","3.739706330121531E-11"
"17","6.3E8","204000.0","6.3E8","0.0","0.0","0.0","21.0","203.7150954479548","10.872940904689832","0.0","2.447789311941205E-4","245","0.0"
"18","4000000.0","8000.0","4000000.0","3.927743465096244E-110","2.764895049013623E-55","2.2751043266895596E-22","17.0","396.9748268710188","1079256.1808007134","1.672256414687569E-10","6.456074052266547E-8","251","1.371425079575956E-15"
"19","4000000.0","8000.0","4000000.0","0.0","0.0","0.0","16.0","378.15277141873594","3745810.305606608","0.0","6.103156762678009E-8","251","3.541359694557892E-11"
"20","3000000.0","8000.0","3000000.0","9.45097820459904E-113","9.721614168767938E-57","3.936449043234213E-23","19.0","420.28181816393555","9586441.165915776","4.724920564093331E-11","5.922468106275617E-8","251","4.554168524967881E-11"
