"Coord1","Coord2","Cost","Length"
"-347499.56527708296-1180825.9100348407","-344499.56527708296-1185825.9100348407","6.2426408","6242.640687119285"
"-228499.56527708273-930825.9100348409","-190499.5652770826-918825.9100348409","42.97056319999997","42970.56274847722"
"622500.434722919-1115825.9100348407","643500.434722919-1137825.9100348407","31.8700584","31870.057685088806"
"5500.4347229177365-1808825.9100348405","65500.43472291785-1830825.9100348405","69.11269919999992","69112.69837220821"
"545500.4347229188-1179825.9100348407","547500.4347229188-1191825.9100348407","12.8284272","12828.427124746191"
"408500.43472291855-1179825.9100348407","515500.4347229188-1221825.9100348407","124.39697119999985","124396.96961967023"
"890500.4347229195-1533825.9100348407","895500.4347229195-1526825.9100348407","9.071068","9071.067811865476"
"412500.43472291855-1175825.9100348407","419500.43472291855-1171825.9100348407","8.6568544","8656.85424949238"
"73500.43472291785-897825.9100348409","99500.43472291797-893825.9100348409","27.6568544","27656.8542494925"
"817500.4347229195-1537825.9100348407","826500.4347229195-1535825.9100348407","9.8284272","9828.427124746191"
"600500.434722919-1098825.9100348407","662500.434722919-1171825.9100348407","102.78174799999988","102781.74593052024"
"-86499.5652770825-1820825.9100348405","-72499.56527708238-1816825.9100348405","15.6568544","15656.854249492497"
"242500.43472291832-1271825.9100348407","293500.4347229183-1206825.9100348407","86.1248935999999","86124.89168102785"
"215500.4347229181-1091825.9100348407","235500.43472291832-1097825.9100348407","22.4852816","22485.281374238803"
"569500.4347229188-1667825.9100348405","603500.434722919-1669825.9100348405","34.82842719999999","34828.42712474642"
"410500.43472291855-1052825.9100348407","419500.43472291855-1071825.9100348407","22.7279224","22727.922061357855"
"832500.4347229195-1533825.9100348407","835500.4347229195-1527825.9100348407","7.2426408","7242.640687119285"
"264500.4347229183-1783825.9100348405","278500.4347229183-1763825.9100348405","25.7989904","25798.98987322333"
"790500.4347229192-607825.9100348409","808500.4347229195-605825.9100348409","18.8284272","18828.427124746424"
"-198499.56527708273-2065825.9100348405","-191499.5652770826-2095825.9100348405","32.899495200000004","32899.49493661175"
"313500.4347229183-1124825.9100348407","314500.4347229183-1137825.9100348407","13.4142136","13414.213562373096"
"615500.434722919-1109825.9100348407","795500.4347229192-1330825.9100348407","297.3158071999999","297315.80054003804"
"-394499.5652770831-1265825.9100348407","-324499.56527708296-1559825.9100348405","323.5807383999992","323580.7358037434"
"583500.434722919-1084825.9100348407","696500.4347229192-1202825.9100348407","170.66400079999997","170663.99692442897"
"782500.4347229192-1796825.9100348405","802500.4347229192-1826825.9100348405","38.28427199999999","38284.2712474619"
"809500.4347229195-1752825.9100348405","820500.4347229195-1687825.9100348405","69.55634959999996","69556.34918610404"
"551500.4347229188-1045825.9100348407","643500.434722919-1137825.9100348407","131.86501039999976","131865.00705120564"
"5500.4347229177365-1805825.9100348405","60500.43472291785-1807825.9100348405","56.6568544","56656.85424949249"
"-241499.56527708273-914825.9100348409","-200499.56527708273-929825.9100348409","47.21320399999996","47213.20343559643"
"551500.4347229188-1045825.9100348407","622500.434722919-1115825.9100348407","100.58073839999983","100580.73580374372"
"-337499.56527708296-1329825.9100348407","-331499.56527708296-1359825.9100348407","32.4852816","32485.28137423857"
"454500.43472291855-1157825.9100348407","456500.43472291855-1136825.9100348407","21.8284272","21828.42712474619"
"48500.43472291785-1074825.9100348407","78500.43472291785-1080825.9100348407","32.4852816","32485.28137423857"
"553500.4347229188-897825.9100348409","575500.4347229188-894825.9100348409","23.2426408","23242.640687119285"
"26500.434722917737-997825.9100348409","65500.43472291785-989825.9100348409","42.31370879999997","42313.70849898488"
"444500.43472291855-1090825.9100348407","457500.43472291855-1071825.9100348407","24.3847768","24384.776310850237"
"-608499.5652770835-2034825.9100348405","-602499.5652770835-2010825.9100348405","26.4852816","26485.28137423857"
"-97499.5652770825-987825.9100348409","-86499.5652770825-988825.9100348409","11.4142136","11414.213562373096"
"786500.4347229192-1367825.9100348407","794500.4347229192-1324825.9100348407","46.3137088","46313.70849898476"
"-342499.56527708296-2220825.91003484","-286499.56527708285-2229825.91003484","59.72792239999997","59727.92206135797"
"140500.43472291797-1709825.9100348405","277500.4347229183-1743825.9100348405","151.08326239999988","151083.2611206855"
"477500.4347229188-1140825.9100348407","492500.4347229188-1181825.9100348407","47.21320399999996","47213.20343559643"
"-48499.56527708238-939825.9100348409","-35499.56527708238-940825.9100348409","13.4142136","13414.213562373096"
"862500.4347229195-1544825.9100348407","867500.4347229195-1521825.9100348407","25.071068","25071.067811865476"
"582500.434722919-1177825.9100348407","615500.434722919-1194825.9100348407","40.04163119999998","40041.630560342615"
"439500.43472291855-1083825.9100348407","457500.43472291855-1071825.9100348407","22.9705632","22970.56274847714"
"-355499.565277083-1277825.9100348407","-337499.56527708296-1330825.9100348407","60.45584479999994","60455.84412271575"
"872500.4347229195-1558825.9100348405","874500.4347229195-1555825.9100348405","3.8284272","3828.42712474619"
"940500.4347229197-1365825.9100348407","951500.4347229197-1354825.9100348407","15.5563496","15556.349186104046"
"454500.43472291855-1157825.9100348407","465500.4347229188-1136825.9100348407","25.5563496","25556.349186104213"
"523500.4347229188-839825.9100348409","547500.4347229188-891825.9100348409","61.94112639999993","61941.12549695428"
"-24499.56527708238-633825.9100348409","28500.434722917737-675825.9100348409","70.39697119999991","70396.96961967007"
"342500.4347229183-1018825.9100348409","343500.4347229183-1019825.9100348409","1.4142136","1414.213562373095"
"291500.4347229183-939825.9100348409","333500.4347229183-926825.9100348409","47.38477679999997","47384.77631085024"
"-203499.56527708273-877825.9100348409","-200499.56527708273-929825.9100348409","53.24264079999999","53242.64068711929"
"332500.4347229183-1094825.9100348407","350500.43472291855-1082825.9100348407","22.9705632","22970.562748477372"
"-24499.56527708238-1798825.9100348405","-18499.565277082263-1802825.9100348405","7.6568544","7656.854249492462"
"531500.4347229188-1112825.9100348407","533500.4347229188-1121825.9100348407","9.8284272","9828.427124746191"
"583500.434722919-1084825.9100348407","795500.4347229192-1330825.9100348407","339.6711471999993","339671.1395993655"
"256500.43472291832-924825.9100348409","264500.4347229183-917825.9100348409","10.8994952","10899.494936611665"
"644500.434722919-1139825.9100348407","782500.4347229192-1367825.9100348407","285.1614768000001","285161.4716074873"
"615500.434722919-1109825.9100348407","696500.4347229192-1202825.9100348407","128.30866079999976","128308.65786510157"
"441500.43472291855-989825.9100348409","443500.43472291855-982825.9100348409","7.8284272","7828.42712474619"
"536500.4347229188-1124825.9100348407","537500.4347229188-1100825.9100348407","24.4142136","24414.213562373094"
"237500.43472291832-926825.9100348409","257500.43472291832-869825.9100348409","65.28427199999993","65284.271247461904"
"-263499.56527708285-2276825.91003484","-260499.56527708285-2248825.91003484","30.071068","30071.067811865476"
"131500.43472291797-989825.9100348409","147500.43472291797-1008825.9100348409","25.6274176","25627.416997969518"
"589500.434722919-1089825.9100348407","786500.4347229192-1367825.9100348407","364.8721567999994","364872.1497261422"
"328500.4347229183-1121825.9100348407","331500.4347229183-1124825.9100348407","4.2426408","4242.640687119285"
"-92499.5652770825-1782825.9100348405","-54499.56527708238-1778825.9100348405","39.6568544","39656.8542494925"
"-409499.56527708314-2158825.9100348405","-382499.5652770831-2162825.9100348405","28.6568544","28656.85424949244"
"589500.434722919-1089825.9100348407","794500.4347229192-1324825.9100348407","325.77165199999956","325771.6446627538"
"466500.4347229188-1288825.9100348407","545500.4347229188-1280825.9100348407","82.31370879999997","82313.70849898476"
"-241499.56527708273-914825.9100348409","-203499.56527708273-877825.9100348409","53.325903199999956","53325.90180780452"
"887500.4347229195-1563825.9100348405","891500.4347229195-1580825.9100348405","18.6568544","18656.854249492382"
"532500.4347229188-1130825.9100348407","545500.4347229188-1133825.9100348407","14.2426408","14242.640687119285"
"423500.43472291855-1290825.9100348407","425500.43472291855-1253825.9100348407","37.82842719999999","37828.42712474619"
"546500.4347229188-1007825.9100348409","580500.434722919-1081825.9100348407","88.08326239999988","88083.26112068523"
"409500.43472291855-1069825.9100348407","434500.43472291855-1060825.9100348407","28.7279224","28727.922061357855"
"755500.4347229192-1271825.9100348407","790500.4347229192-1363825.9100348407","106.49747599999989","106497.47468305835"
"218500.4347229181-917825.9100348409","272500.4347229183-907825.9100348409","58.142135999999965","58142.135623731185"
"583500.434722919-1084825.9100348407","615500.434722919-1109825.9100348407","42.355339999999984","42355.33905932738"
"439500.43472291855-1083825.9100348407","444500.43472291855-1090825.9100348407","9.071068","9071.067811865476"
"145500.43472291797-1704825.9100348405","171500.4347229181-1697825.9100348405","28.8994952","28899.49493661178"
"-81499.5652770825-1816825.9100348405","-72499.56527708238-1816825.9100348405","9.0","9000.000000000116"
"456500.43472291855-1136825.9100348407","465500.4347229188-1136825.9100348407","9.0","9000.000000000233"
"542500.4347229188-1023825.9100348409","672500.434722919-1187825.9100348407","217.8477680000002","217847.76310850235"
"371500.43472291855-1193825.9100348407","392500.43472291855-1182825.9100348407","25.5563496","25556.349186104046"
"433500.43472291855-1019825.9100348409","439500.43472291855-1004825.9100348409","17.4852816","17485.28137423857"
"-217499.56527708273-2052825.9100348405","-215499.56527708273-2061825.9100348405","9.8284272","9828.427124746191"
"-86499.5652770825-1820825.9100348405","-81499.5652770825-1816825.9100348405","6.6568544","6656.85424949238"
"228500.4347229181-1129825.9100348407","244500.43472291832-1145825.9100348407","22.6274176","22627.416997969685"
"-299499.56527708285-866825.9100348409","-257499.56527708285-878825.9100348409","46.97056319999997","46970.56274847714"
"563500.4347229188-1061825.9100348407","795500.4347229192-1327825.9100348407","366.19805999999926","366198.0515339467"
"696500.4347229192-1202825.9100348407","795500.4347229192-1330825.9100348407","169.0071464","169007.14267493648"
"783500.4347229192-1805825.9100348405","788500.4347229192-1780825.9100348405","27.071068","27071.067811865476"
"127500.43472291797-927825.9100348409","129500.43472291797-918825.9100348409","9.8284272","9828.427124746191"
"476500.4347229188-1013825.9100348409","485500.4347229188-984825.9100348409","32.7279224","32727.92206135786"
"58500.43472291785-1800825.9100348405","60500.43472291785-1807825.9100348405","7.8284272","7828.427124746191"
"412500.43472291855-1175825.9100348407","491500.4347229188-1314825.9100348407","171.72287439999977","171722.87142747466"
"237500.43472291832-1265825.9100348407","259500.43472291832-1275825.9100348407","26.142136","26142.135623730952"
"-201499.56527708273-882825.9100348409","-200499.56527708273-929825.9100348409","47.4142136","47414.213562373094"
"942500.4347229197-1341825.9100348407","948500.4347229197-1342825.9100348407","6.4142136","6414.213562373096"
"609500.434722919-1105825.9100348407","675500.434722919-1190825.9100348407","115.26702959999982","115267.02730475878"
"535500.4347229188-1233825.9100348407","572500.4347229188-1230825.9100348407","38.24264079999999","38242.64068711929"
