"Coord1","Coord2","Cost","Length"
"439500.43472291855-1083825.9100348407","461500.43472291855-1073825.9100348407","26.142136","26142.135623730952"
"451500.43472291855-1143825.9100348407","499500.4347229188-1178825.9100348407","62.497475999999935","62497.47468305856"
"-228499.56527708273-930825.9100348409","-190499.5652770826-918825.9100348409","42.97056319999997","42970.56274847722"
"543500.4347229188-761825.9100348409","561500.4347229188-902825.9100348409","148.45584479999994","148455.84412271573"
"545500.4347229188-1179825.9100348407","547500.4347229188-1191825.9100348407","12.8284272","12828.427124746191"
"408500.43472291855-1179825.9100348407","515500.4347229188-1221825.9100348407","124.39697119999985","124396.96961967023"
"-205499.56527708273-2066825.9100348405","-174499.5652770826-2097825.9100348405","43.84062159999998","43840.62043356603"
"412500.43472291855-1175825.9100348407","419500.43472291855-1171825.9100348407","8.6568544","8656.85424949238"
"73500.43472291785-897825.9100348409","99500.43472291797-893825.9100348409","27.6568544","27656.8542494925"
"156500.4347229181-1005825.9100348409","211500.4347229181-951825.9100348409","77.3675343999999","77367.53236814713"
"7500.4347229177365-1776825.9100348405","58500.43472291785-1800825.9100348405","67.32590319999991","67325.90180780459"
"-322499.56527708296-2026825.9100348405","-316499.56527708296-2011825.9100348405","17.4852816","17485.28137423857"
"-86499.5652770825-1820825.9100348405","-72499.56527708238-1816825.9100348405","15.6568544","15656.854249492497"
"242500.43472291832-1271825.9100348407","293500.4347229183-1206825.9100348407","86.1248935999999","86124.89168102785"
"940500.4347229197-1365825.9100348407","960500.4347229197-1354825.9100348407","24.5563496","24556.349186104046"
"72500.43472291785-917825.9100348409","117500.43472291797-936825.9100348409","52.87005839999995","52870.05768508889"
"454500.43472291855-1269825.9100348407","479500.4347229188-1187825.9100348407","92.35533999999991","92355.33905932754"
"215500.4347229181-1091825.9100348407","235500.43472291832-1097825.9100348407","22.4852816","22485.281374238803"
"37500.43472291785-866825.9100348409","38500.43472291785-882825.9100348409","16.4142136","16414.213562373094"
"511500.4347229188-1206825.9100348407","533500.4347229188-1310825.9100348407","113.11269919999992","113112.69837220809"
"410500.43472291855-1052825.9100348407","419500.43472291855-1071825.9100348407","22.7279224","22727.922061357855"
"-276499.56527708285-2018825.9100348405","-274499.56527708285-2022825.9100348405","4.8284272","4828.42712474619"
"264500.4347229183-1783825.9100348405","278500.4347229183-1763825.9100348405","25.7989904","25798.98987322333"
"-198499.56527708273-2065825.9100348405","-191499.5652770826-2095825.9100348405","32.899495200000004","32899.49493661175"
"141500.43472291797-1718825.9100348405","240500.43472291832-1783825.9100348405","127.68124319999978","127681.24086713218"
"313500.4347229183-1124825.9100348407","314500.4347229183-1137825.9100348407","13.4142136","13414.213562373096"
"615500.434722919-1109825.9100348407","795500.4347229192-1330825.9100348407","297.3158071999999","297315.80054003804"
"543500.4347229188-1152825.9100348407","550500.4347229188-1146825.9100348407","9.4852816","9485.28137423857"
"488500.4347229188-1039825.9100348407","507500.4347229188-1053825.9100348407","24.7989904","24798.98987322333"
"-128499.5652770825-2190825.91003484","-119499.5652770825-2182825.9100348405","12.3137088","12313.708498984432"
"5500.4347229177365-1805825.9100348405","60500.43472291785-1807825.9100348405","56.6568544","56656.85424949249"
"207500.4347229181-1134825.9100348407","218500.4347229181-1126825.9100348407","14.8994952","14899.494936611665"
"257500.43472291832-869825.9100348409","264500.4347229183-917825.9100348409","50.899495199999976","50899.49493661166"
"425500.43472291855-1253825.9100348407","433500.43472291855-1263825.9100348407","13.3137088","13313.70849898476"
"583500.434722919-1084825.9100348407","788500.4347229192-1366825.9100348407","372.77165199999934","372771.6446627539"
"795500.4347229192-1222825.9100348407","796500.4347229192-1220825.9100348407","2.4142136","2414.213562373095"
"454500.43472291855-1157825.9100348407","456500.43472291855-1136825.9100348407","21.8284272","21828.42712474619"
"822500.4347229195-1825825.9100348405","834500.4347229195-1810825.9100348405","19.9705632","19970.56274847714"
"-349499.565277083-1179825.9100348407","-344499.56527708296-1190825.9100348407","13.071068","13071.067811865516"
"553500.4347229188-897825.9100348409","575500.4347229188-894825.9100348409","23.2426408","23242.640687119285"
"-404499.5652770831-2141825.9100348405","-382499.5652770831-2162825.9100348405","30.6984856","30698.484809834998"
"226500.4347229181-1205825.9100348407","237500.43472291832-1265825.9100348407","83.08326239999991","83083.26112068546"
"444500.43472291855-1090825.9100348407","457500.43472291855-1071825.9100348407","24.3847768","24384.776310850237"
"-608499.5652770835-2034825.9100348405","-602499.5652770835-2010825.9100348405","26.4852816","26485.28137423857"
"786500.4347229192-1367825.9100348407","794500.4347229192-1324825.9100348407","46.3137088","46313.70849898476"
"-342499.56527708296-2220825.91003484","-286499.56527708285-2229825.91003484","59.72792239999997","59727.92206135797"
"140500.43472291797-1709825.9100348405","277500.4347229183-1743825.9100348405","151.08326239999988","151083.2611206855"
"323500.4347229183-1024825.9100348409","344500.4347229183-1037825.9100348407","26.3847768","26384.77631085007"
"477500.4347229188-1140825.9100348407","492500.4347229188-1181825.9100348407","47.21320399999996","47213.20343559643"
"83500.43472291785-933825.9100348409","104500.43472291797-897825.9100348409","44.69848559999997","44698.48480983508"
"-48499.56527708238-939825.9100348409","-35499.56527708238-940825.9100348409","13.4142136","13414.213562373096"
"-4499.5652770822635-681825.9100348409","73500.43472291785-574825.9100348409","139.30866079999976","139308.6578651015"
"853500.4347229195-1809825.9100348405","854500.4347229195-1836825.9100348405","27.4142136","27414.213562373094"
"862500.4347229195-1544825.9100348407","867500.4347229195-1521825.9100348407","25.071068","25071.067811865476"
"577500.434722919-1190825.9100348407","594500.434722919-1199825.9100348407","20.7279224","20727.922061357855"
