ID,Area,Perim,Capacity,Ajaponicus_BC,Ajaponicus_rank,Cauriga_BC,Cauriga_rank,Clunulatus_BC,Clunulatus_rank,Cstriatus_BC,Cstriatus_rank,Cvroliki_BC,Cvroliki_rank,Daruanus_BC,Daruanus_rank,Lkasmira_BC,Lkasmira_rank,Nplicata_BC,Nplicata_rank,Pcoelestis_BC,Pcoelestis_rank
1,1.20E+07,24000,1.20E+07,3.097246758,94,1.74667504,99.5,17.24897792,73,2.272606556,96,19.43749151,64.5,34.5034995,50.5,1.935322194,96,0,58,3.442241689,98.5
2,4.94E+08,104000,4.94E+08,7.188820755,78,1.74667504,99.5,9.318168425,89,5.38662784,79,19.43749151,64.5,34.5034995,50.5,5.832936472,81,0,58,3.442241689,98.5
3,1.60E+07,30000,1.60E+07,0.825001135,105,0.917402015,109,1.75888247,104.5,0.209010988,109,0.125,109,0,111.5,0.384417502,108,0,58,0.711184234,109
4,2.10E+07,46000,2.10E+07,1.045319707,104,0.917402015,109,8.215840451,93.5,0.483454174,106,0.125,109,0,111.5,0.872488622,105,0,58,0.711184234,109
5,4.42E+08,104000,4.42E+08,2.854091982,95,1.74667504,99.5,8.215840451,93.5,2.284341671,95,0.125,109,0.5,102.5,2.445864037,94,0,58,5.72327567,94
6,5.63E+08,208000,5.63E+08,0.333897404,110,0.917402015,109,0,113,0.073255494,113,0,113,0,111.5,0.072930048,113,0,58,0.711184234,109
7,5.95E+08,134000,5.95E+08,43.90675786,18,127.5848499,8,103.0037128,19,67.18089585,14,215.0228193,11,252.1433177,13,56.51088218,14,0,58,88.15325513,16
8,6.79E+08,134000,6.79E+08,4.631964675,86,1.74667504,99.5,20.85211001,66,4.609555856,83,201.1590699,14,0.5,102.5,4.631252563,86,0,58,17.09894057,71.5
9,1.78E+08,88000,1.78E+08,6.695724212,79,3.690950864,91,73.369146,25,6.414077064,75,201.1590699,14,399.751171,8.5,10.02816703,68,0,58,17.09894057,71.5
10,3.70E+07,34000,3.70E+07,0,115,0,114,1.75888247,104.5,0,115,0,113,0,111.5,0,115,0,58,0,115
11,1.69E+09,192000,1.69E+09,0.452564023,109,4.13887414,86.5,3.914388283,100,0.207815735,111,0.21978022,105,7.382907728,84,0.207815735,111,0,58,5.081361787,95
12,3.81E+09,402000,3.81E+09,13.01797818,50,8.984186779,72,92.51254034,22,12.51368634,54,201.1590699,14,399.751171,8.5,12.85598232,51,0,58,26.02322021,56
13,5.81E+08,132000,5.81E+08,0.121794872,113.5,1.467040616,104.5,0,113,0.207815735,111,0.21978022,105,3.202889216,99.5,0.207815735,111,0,58,0.067078721,113.5
14,8.35E+08,154000,8.35E+08,72.39812162,9,123.3429247,11,403.3147944,3,85.10067073,8,259.1053433,10,244.1989726,14,80.20382291,7,0,58,325.6006924,3
15,6.34E+08,124000,6.34E+08,13.06223746,49,4.13887414,86.5,96.96406211,21,6.310982876,77,62.56125889,44,140.7763502,28,9.217492577,72,0,58,28.95874751,52.5
16,1.75E+09,238000,1.75E+09,3.982140331,89,4.13887414,86.5,15.13120774,77,1.094055214,101,81.97641521,39,16.90376171,70,5.299043332,82,0,58,28.95874751,52.5
17,3.37E+08,94000,3.37E+08,0.171148441,111.5,0,114,0.133333333,109.5,0.035714286,114,0.389423077,103,0.476068376,104.5,0.035714286,114,0,58,0.157629029,111
18,2.00E+09,306000,2.00E+09,1.050195668,103,4.13887414,86.5,28.42462335,54,1.050136943,103,3.892335165,91,8.88990351,79,1.428268063,101,0,58,8.456022819,88
19,8.77E+08,188000,8.77E+08,0.121794872,113.5,1.467040616,104.5,0,113,0.207815735,111,0.21978022,105,3.202889216,99.5,0.207815735,111,0,58,0.067078721,113.5
20,6.42E+08,120000,6.42E+08,1.902791356,101,2.377342774,95,13.77152778,81,0.619528712,105,4.59789072,90,17.99100225,69,0.596188428,107,0,58,6.034900095,93
21,4.78E+08,106000,4.78E+08,0.171148441,111.5,0,114,0.133333333,109.5,0.397053231,107,1.170974716,101,0.476068376,104.5,0.384001161,109,0,58,2.636469737,103
22,7.10E+07,66000,7.10E+07,14.44844476,47,4.13887414,86.5,60.16809016,32,8.236103356,72,93.71546574,33,3.482572983,98,10.90625088,65,0,58,18.15517606,68
23,8.59E+08,162000,8.59E+08,19.30705578,40,4.13887414,86.5,60.16809016,32,12.20351759,56,123.0377848,22,261.9632668,12,14.94835245,41,0,58,34.26235044,43.5
24,1.06E+09,166000,1.06E+09,18.24931582,43,5.678018962,80.5,41.9088466,46,10.83450518,63.5,123.0377848,22,150.3332459,24.5,12.81130412,52,0,58,18.15517606,68
25,1.85E+09,326000,1.85E+09,19.82245601,37,6.873842393,74,119.3380546,14,16.27551141,36,187.4851576,16,203.8776066,16,19.33990478,36,0,58,34.26235044,43.5
26,1.12E+09,182000,1.12E+09,16.62053049,44,5.678018962,80.5,60.16809016,32,10.83450518,63.5,123.0377848,22,150.3332459,24.5,13.57474838,47,0,58,18.15517606,68
27,2.36E+08,76000,2.36E+08,44.7306478,16,108.7292794,13,270.691078,6,49.24242079,18,931.0680729,1,885.4309719,2,52.26955786,16,0,58,330.6244236,2
28,8.00E+07,40000,8.00E+07,47.60211141,14,100.2151605,16,133.4860416,12,55.96193013,15,14.09102403,73,7.166980964,85,53.58117399,15,0,58,77.02630688,23
29,5.62E+08,148000,5.62E+08,10.74467678,60,1.982278858,97,13.77152778,81,10.32461437,66,33.92020979,55,114.6152569,31,11.29602661,61,0,58,3.384154394,100.5
30,3.74E+08,112000,3.74E+08,43.36543668,19,104.4480203,15,88.47154428,23,49.60111922,17,15.31309596,72,8.458892729,81,50.33671064,17.5,0,58,84.75868044,17
31,3.28E+08,126000,3.28E+08,2.656720132,96,0.910302158,111,13.77152778,81,1.071243496,102,30.90696193,56,7.042246781,90,1.808446368,98,0,58,3.384154394,100.5
32,7.76E+08,130000,7.76E+08,83.63615861,6,115.623457,12,69.27720778,26,86.35641765,7,29.48395404,58,84.2447808,41,79.96299702,8.5,0,58,81.41022538,21
33,1.44E+09,218000,1.44E+09,58.78307721,12,172.6747104,4,134.0290362,11,68.11182061,13,106.7058899,28,31.34122671,54,71.07730774,12,0,58,84.75112755,18
34,8.20E+07,42000,8.20E+07,44.57815303,17,126.9044848,10,54.15703778,37,52.88325935,16,16.69045607,69,26.17577162,62,50.33671064,17.5,0,58,59.40450381,25
35,6.35E+08,152000,6.35E+08,29.16200283,28,14.25151121,55,66.04123731,27,32.64858368,26,15.9803856,70,72.24191339,46,30.9760397,25,0,58,18.21513742,65
36,1.06E+09,160000,1.06E+09,67.32503761,10.5,132.4671789,6,20.95445038,65,80.55945496,9.5,36.70064841,52.5,119.0618977,30,79.96299702,8.5,0,58,158.2220967,10
37,4.84E+08,100000,4.84E+08,67.32503761,10.5,129.4323867,7,63.46490053,29,79.24448585,11,36.70064841,52.5,94.77377831,38,77.95128031,10,0,58,94.93586774,15
38,4.02E+09,568000,4.02E+09,117.1475801,3,203.9934906,3,323.738014,5,154.9378836,2,36.70064841,52.5,110.8649364,32,138.7500073,3,0,58,163.1280835,8
39,7.81E+08,214000,7.81E+08,72.68689738,8,127.3569722,9,24.24983894,59,89.78429497,6,122.5713209,24,49.3969781,49,85.03747609,6,0,58,54.50859994,29
40,3.10E+08,96000,3.10E+08,39.21833101,20,54.40332029,21,37.90323943,48,45.80509198,19,83.61388875,38,30.92899129,55,44.83996301,19,0,58,56.57545022,26
41,9.24E+08,154000,9.24E+08,72.8087866,7,107.1844671,14,7.129197459,97,80.55945496,9.5,36.70064841,52.5,145.6820533,26,75.13886833,11,0,58,145.1122205,12
42,5.20E+07,56000,5.20E+07,89.06804894,5,32.45760226,35,103.3675715,18,100.3507104,5,354.3244509,7,507.2291038,5,98.25693703,5,0,58,128.9872189,14
43,8.20E+08,128000,8.20E+08,105.4999279,4,71.91427398,18,259.4389175,7,129.6361001,4,309.8809831,8,449.4738866,7,114.0587272,4,0,58,151.5241142,11
44,1.77E+08,64000,1.77E+08,36.33825226,22,9.638240209,69,9.756982386,88,27.19196835,33,53.58570563,47,99.69526812,36.5,32.58221547,24,0,58,12.93462024,80
45,8.60E+07,42000,8.60E+07,29.42462959,27,10.45961104,66,10.83732719,86,28.22185479,32,70.03487941,41.5,99.69526812,36.5,27.12045168,33,0,58,14.11713541,78
46,7.14E+09,502000,7.14E+09,184.7855346,1,326.1970742,1,712.7212492,1,222.7834173,1,893.688492,2,679.6235018,3,221.9270475,1,0,58,564.163715,1
47,8.31E+08,210000,8.31E+08,32.19841747,24.5,19.49444864,48,24.30127807,58,29.75678947,28.5,89.26154431,35,142.697473,27,33.91771982,21,0,58,17.07939308,73
48,7.60E+07,42000,7.60E+07,32.19841747,24.5,12.50693991,59,35.395439,50,29.75678947,28.5,89.26154431,35,165.580666,20,28.80433215,30,0,58,19.24180132,62
49,7.93E+08,204000,7.93E+08,12.96371818,51.5,5.338438398,82,6.458617406,98.5,11.35166427,59.5,2.602337467,98,5.333519274,93.5,10.82474193,66,0,58,7.853364213,90
50,5.62E+08,160000,5.62E+08,24.48959405,31,5.759102627,79,12.49234661,83,19.44747103,35,70.03487941,41.5,13.49144429,76,17.24479753,37.5,0,58,15.47708246,76
51,9.30E+07,56000,9.30E+07,124.2700668,2,204.3612875,2,155.1770748,10,146.2521196,3,432.0690304,5,327.0364531,10,141.2660458,2,0,58,224.9709272,5
52,1.30E+08,52000,1.30E+08,20.99720786,35,9.539681905,70,17.6959179,71,14.47518348,46,89.26154431,35,19.45341225,67,17.24479753,37.5,0,58,19.11182174,63.5
53,3.73E+08,112000,3.73E+08,12.96371818,51.5,5.803594738,78,8.514977136,91,11.35166427,59.5,3.217201667,96,11.29961953,78,11.91964994,58,0,58,8.758185355,87
54,1.37E+08,54000,1.37E+08,13.72338758,48,10.79547035,63,22.53317822,63,13.8501146,49,11.15891268,74,27.2991861,60,12.87703908,50,0,58,19.11182174,63.5
55,3.74E+08,112000,3.74E+08,8.398482707,74,5.830901926,77,6.458617406,98.5,7.832851988,73,2.156022774,99,5.333519274,93.5,7.234248927,76,0,58,12.0864079,83
56,3.91E+08,124000,3.91E+08,3.944039735,90,10.67538216,64,13.86802284,79,3.371455628,89,6.477748344,83,12.2275243,77,3.135623627,91,0,58,24.21958898,60.5
57,1.36E+08,52000,1.36E+08,4.582271716,87,11.33162105,61,18.69391099,68.5,2.364643326,92.5,5.862741469,85.5,18.10867946,68,3.135623627,91,0,58,25.88856627,58
58,1.83E+08,64000,1.83E+08,2.194436473,99,9.662103945,68,12.30225543,84,1.899503372,97,4.62570053,89,8.300993142,82,1.677054988,99,0,58,11.66505546,84
59,1.38E+08,54000,1.38E+08,7.462168023,77,2.742806449,94,3.338992608,101,4.710936817,82,1.109016637,102,3.685546556,97,6.415821682,79,0,58,3.531918358,97
60,6.91E+09,922000,6.91E+09,56.66527733,13,167.7701342,5,427.9736108,2,73.94328933,12,559.172141,3,904.6440824,1,64.23809722,13,0,58,293.8747051,4
61,6.63E+08,192000,6.63E+08,2.542520961,97,11.33162105,61,18.69391099,68.5,2.364643326,92.5,5.862741469,85.5,15.65423551,72,2.051631461,95,0,58,37.5908596,39
62,1.28E+09,188000,1.28E+09,22.57338584,33.5,45.72373228,24,131.0609523,13,34.65595125,24.5,160.6040337,18,78.67615403,42,29.26309372,28.5,0,58,188.9719459,6
63,7.67E+08,128000,7.67E+08,15.30110648,46,39.18268507,29,63.74443645,28,11.62417216,58,107.3173541,27,163.8163298,21.5,11.3818036,60,0,58,54.56879607,28
64,3.57E+08,86000,3.57E+08,36.94928187,21,64.6601697,20,106.7769143,15.5,39.20117036,21.5,143.4685442,20,180.7503414,18.5,33.33239293,22.5,0,58,81.71938853,20
65,2.58E+08,88000,2.58E+08,4.154848692,88,11.33162105,61,17.3736391,72,3.672341728,87,9.077940906,78,21.35009637,66,3.135623627,91,0,58,24.21958898,60.5
66,3.82E+08,88000,3.82E+08,31.18805709,26,68.36641184,19,106.7769143,15.5,39.20117036,21.5,166.0024747,17,23.49223267,65,33.33239293,22.5,0,58,77.96302631,22
67,7.27E+08,194000,7.27E+08,3.816227717,91,18.92295493,51,101.5454892,20,5.373221724,80,104.9229526,29,77.28367329,43,4.797691461,83,0,58,48.04168825,35
68,9.67E+09,698000,9.67E+09,22.57338584,33.5,48.28559564,22,182.0469334,9,34.65595125,24.5,283.7543358,9,322.5033403,11,29.26309372,28.5,0,58,158.4409701,9
