"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",2.5e+07,14433620.4102121,500,47500000,13.5000674848877,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497034541852,1,3,0,Inf,NA
"lnPost",34209.5194226046,11327.0517688347,10871.397218,50702.544947,196872.17150432,1.88826976435941,2.89573077124754
"lnDataL",-915.126629326661,7.98933584171959,-927.4306,-900.02697,17887.7323728052,3.34633032096517,12.6470437934751
"lnPrbGParam",35124.6460519431,11329.7109292745,11782.649236,51625.701103,196848.454619125,1.88868149222344,2.89649145274497
"lnPrior",-140.945572098883,7.15946145569404,-150.868815,-125.885199,156080.630408227,1.95525889656902,3.51993388362284
"treeintervals",3286.82935162685,1028.62733517021,1197,4769,196392.011053968,1.88953584129493,2.89732942220787
"treelength",0.091702960962943,0.0116249584458177,0.067248,0.108255,6575.5717742728,2.2925498446528,12.6012648230478
"Theta_1",0.012043267720555,0.0104135979125846,4.021e-05,0.03028,776111.422706191,1.11294535926594,1.24680492616899
"Theta_2",0.0116614860736496,0.00994073271810645,1.181e-05,0.03002,676430.326580218,1.04468026432828,1.09920410373718
"Theta_3",0.0212260080529805,0.00927076698285488,0.00041365,0.03445,250626.569546619,1.93302518814906,3.00788066824244
"Theta_4",0.00975735423079786,0.00982771393348323,2.064e-05,0.0294,747720.15217265,1.02227841039922,1.04757814569634
"M_2_1_Into",441345.625958423,256846.045789795,289.44,838301,118895.210022667,2.55918572323267,5.67838184800076
"M_3_1_Into",512831.98489532,287887.766252212,1407.2,952895,109402.145954154,2.57311627118165,5.6120785954715
"M_4_1_Into",421437.378727866,294483.018991874,12233,959467,129929.642769654,3.2256919336967,8.13260683153305
"M_1_2_Out",481821.350123201,315583.291348398,422.98,909407,157294.525922629,2.80491341385994,6.18429700370607
"M_4_2",328517.616859228,264343.181958774,1.0551,782575,108902.993079008,2.74296005725746,6.20846072543948
"M_1_3_Out",111712.129868124,202356.949296496,0.2074,515281,117155.355039434,19.007922994548,51.0861637114759
"M_4_3",114446.886656347,210778.913986338,0.2726,540298,98447.1922081122,9.78447836481148,39.7956451763637
"M_1_4_Out",504537.297877626,241069.226907547,177403,999983,117823.217430984,2.87665346916062,9.31889979690657
"M_2_4",376273.777180334,186628.774483824,34050,739750,105815.329409102,1.40091478176708,2.06181147969968
"M_3_4",585499.582389157,215464.398176667,242601,999998,111946.415702494,1.91178292635195,3.85693355331563
"mL_1.000000",-914.742228434622,2.88268144790506,-919.299819,-910.595105,435.806317115253,7.59666364856822,14.0883482774952
"mL_1.500000",-929.310170636622,6.28375747950471,-942.290967,-919.497566,524.307797550614,8.41588906947027,21.3838067118413
"mL_3.000000",-1052.89687753816,2.42171570754872,-1057.957536,-1050.292708,18.3173949212876,5.15417561952211,10.4213534867285
"mL_100000.000000",-1269.23628521412,9.26923996268282,-1291.189871,-1257.054374,24.4877062537278,6.1890315360867,13.1204097818569
"mL_thermo",-1024.72049100029,2.39113294963091,-1029.485483,-1021.189018,36.3664999772892,7.67166582671899,13.1078747227046
"mL_harmonic",-928.054286903258,5.89710860715014,-940.467338,-919.463195,540.481071342475,5.47961533180712,33.3315882658484
"Nm_2_1",4571.40302748118,5623.7328519356,0.0054549974,15660.78528,370504.34544182,1.12931318830298,1.28367279658762
"Nm_3_1",5453.60612842667,6702.7224473717,0.01746752,18720.13901,401760.306187316,1.15676299302888,1.34441599860312
"Nm_4_1",4469.60770784634,6028.10906354486,1.088181,16298.47515,356911.159203874,1.24040952051014,1.57084713098792
"Nm_1_2",5111.49237831757,6662.48638641544,0.0282068747,18501.35688,372213.363342504,1.16695396881168,1.37068561729714
"Nm_4_2",3444.80139257925,5037.25569553865,0.029817126,13421.41779,289371.818863462,1.21917683518602,1.51645980454587
"Nm_1_3",1084.37455188835,2787.85129838035,0.00426222,6422.84748,155828.835044384,1.70216681673673,4.05738523465745
"Nm_4_3",1116.93674353362,3032.41356831274,0.004762322,6837.8652,137034.641300437,1.74725472023924,4.5776436627082
"Nm_1_4",4902.75196787854,5817.85233606018,0.017798653,16205.55825,469477.497322573,1.11723512289454,1.24996819778334
"Nm_2_4",3654.29877415014,4457.58691821917,0.001693580204,12297.42,285955.332351633,1.08134951056918,1.16622616056566
"Nm_3_4",5791.68839070471,6603.56485104073,5.28683792,18712.05444,457559.632916862,1.09745943098316,1.20018336478751
