"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",17499750,4330135.03529258,1e+07,24250000,13.500225032205,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816498092962632,1,3,0,Inf,NA
"lnPost",13822.0826358656,11441.2221601486,1632.889798,39766.342074,256.156512861606,1.0962573776453,1.20305631248191
"lnDataL",-1091.40931052917,8.6216084625576,-1108.425989,-1075.562932,8463.20999247344,1.00898944571728,1.0191683613468
"lnPrbGParam",14913.4919463939,11441.8293881877,2719.169529,40854.454091,256.155454135408,1.09625332832582,1.20304828523521
"lnPrior",-66.8340154330704,6.30565907205081,-79.39244,-55.068512,419.087707320082,1.14315155061633,1.29035560200593
"treeintervals",1475.96618888889,961.665662832493,435,3640,257.180052534511,1.10012223802364,1.21117972120694
"treelength",0.0583574700185185,0.0159438194225875,0.029384,0.090275,3271.49356284343,1.01078362718686,1.0223843600763
"Theta_1",0.0132896076088148,0.0112802007029477,8.89e-05,0.0356,9445.45626912651,1.03428982890751,1.0713408791337
"Theta_2",0.0121121080755926,0.00547875673702956,0.00268,0.02252,1528.20326671167,1.13128442256717,1.26684525717611
"Theta_3",0.0105176328946667,0.0100588627316145,2.584e-05,0.03059,32243.8410126616,1.00100798420645,1.0021907128024
"Theta_4",0.0134570161485556,0.0116143359830683,4.635e-05,0.03621,14624.862694018,1.0767788311643,1.15731645194193
"M_3_1",391182.274419296,296470.798321534,2644.3,923910,243.019032372147,1.1523194136699,1.30804276815863
"M_1_3",544289.460287054,283866.861405136,71697,999997,331.477137729788,1.1002013512618,1.21180280105551
"M_2_3",350386.279576296,275016.694864529,22000,905866,294.305778333291,1.11994873519009,1.24762023571276
"M_4_3",537469.886838578,277394.243967384,78866,999964,348.318325806186,1.06900393922044,1.14359503368003
"M_3_4",453050.706564037,324962.263751689,1564,948451,365.365916018194,1.29841400496252,1.60838039782311
"mL_1.000000",-1091.69319960925,0.45246629160727,-1092.50567,-1090.954285,9.88872263327585,11.4649995691064,18.5659803974914
"mL_1.500000",-1178.33042181426,0.484298164691394,-1179.337539,-1177.323789,23.4201741240172,4.36982142264527,13.8656241287821
"mL_3.000000",-1243.16482139737,1.50568985948151,-1247.310486,-1242.0232,14.340911130352,15.5032410093382,66.8448208994055
"mL_100000.000000",-1313.79591679289,1.26404809963968,-1316.356343,-1311.381255,14.9057471209917,7.63169503354317,15.5301275414534
"mL_thermo",-1208.06714900032,0.544781121524423,-1209.534545,-1207.378475,14.2684299064026,9.72225699145695,17.7278853186462
"mL_harmonic",-1129.14693475886,2.70134102858174,-1134.559146,-1124.828437,15.0934824210927,45.3930882815551,78.2744230619112
"Nm_3_1",4347.02753767779,5793.45857472986,12.04504,15802.7706,3489.1866428319,1.039262896888,1.07986341563213
"Nm_1_3",5717.15055276285,6854.07752788053,0.024667857,19398.96046,5099.74622282027,1.01733001749645,1.03588306806574
"Nm_2_3",3624.91721659019,5267.27027734164,4.9342832,13841.2215,2570.10535234821,1.04143427501687,1.08195149991768
"Nm_4_3",5626.45243961091,6705.56506902193,0.030772742,19009.4348,5104.01087429357,1.01709136341964,1.03513902607269
"Nm_3_4",4898.04272665578,6526.24228837681,10.768025,17883.7779,5746.33529648536,1.06247389794439,1.13348110760473
