"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",34999750,8660262.05540645,2e+07,48500000,13.5001126440034,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497336944129,1,3,0,Inf,NA
"lnPost",25348.7057601731,14636.8537669287,1568.542094,50128.615532,799.819959247703,1.21017740063142,1.42573071866229
"lnDataL",-1439.97316363753,8.34531690952814,-1456.245537,-1423.626394,13398.4235196556,1.03820540884215,1.08199623154158
"lnPrbGParam",26788.6789238108,14637.0844134518,3014.713022,51574.78135,799.703059798879,1.2102416690909,1.42585169706325
"lnPrior",-107.15550890715,7.52137942148648,-121.470945,-91.943377,994.430827161841,1.26506606434868,1.51961628433541
"treeintervals",2568.56924074074,1351.47023793355,414,4911,819.126238553549,1.23748213523172,1.47582000455008
"treelength",0.482504689212963,0.0476881443438303,0.390704,0.579378,4199.2490105514,1.03028197955068,1.06400700855645
"Theta_1",0.108162204185185,0.0230813078072815,0.07409,0.1589,343.383748561068,1.75902170540342,2.42930651635819
"Theta_2",0.0104667302874815,0.0100540274716882,2.616e-05,0.03049,392963.689807244,1.00011409353696,1.00025541156225
"Theta_3",0.010287202997037,0.0100447362373771,1.786e-05,0.03032,94495.6862973097,1.0008827512957,1.0019306262143
"Theta_4",0.0129404982034259,0.0116014033221834,2.676e-05,0.03599,152744.769340881,1.03884638694387,1.07962001512339
"Theta_5",0.0628384042790556,0.0314757702673198,0.00113,0.1117,1889.99581693301,1.54818005769436,2.02147602402591
"M_1_2",434135.523486481,271142.5530883,35104,934277,841.193194369735,1.05506824343035,1.11635354286869
"M_3_2",556272.062122228,258806.388309086,125293,999955,1159.3774604169,1.07073678321341,1.14978869250331
"M_2_3",357078.082761833,261064.286336771,5054.1,866626,562.554008533571,1.25761847515606,1.5494680611226
"M_4_3",597029.357421481,240320.63250368,175357,999988,636.243413169307,1.05828080520975,1.1183802062237
"M_3_4",340102.472127519,277491.272667224,1804.5,850435,394.865181697685,1.43962899975862,1.89309981603092
"M_5_4",545254.006128182,285428.794131694,107495,995393,335.167725131098,1.36655255496426,1.74837523171281
"M_4_5",82212.8872843974,189319.050567688,51.935,599354,251.945386670648,1.58421830440251,3.22984938629158
"mL_1.000000",-1439.86510891922,0.901472089658372,-1441.78064,-1438.787869,14.9005742098402,14.4591546675168,41.0290919129625
"mL_1.500000",-1477.7638255286,0.67125359410553,-1479.307806,-1476.995455,16.4923621386913,10.5904870216806,19.3130287124684
"mL_3.000000",-1611.377319375,0.815822661380405,-1613.025309,-1609.446194,10.4699514828802,3.97783111995258,9.51724154574654
"mL_100000.000000",-3143.03375959406,12.3825438643139,-3162.365109,-3119.654031,19.1169487778209,4.26165927506569,10.6493269277064
"mL_thermo",-1793.50642099792,2.2715797571713,-1797.218266,-1789.946963,18.9420614754191,5.4686404698282,13.7088861495881
"mL_harmonic",-1472.513781754,3.74317879109686,-1477.704186,-1465.147027,34.466535516812,17.0729387675482,53.4429177021845
"Nm_1_2",4494.94058484888,5820.16585508376,3.55080435,15896.47395,7659.10365495422,1.01530131500534,1.02997768143227
"Nm_3_2",5786.21374635871,6695.91687024838,0.013443408,19023.1068,16256.4848233237,1.01261008523111,1.02496317968083
"Nm_2_3",3617.45466922485,5150.16298356624,1.59978104,13648.00828,5505.53545829024,1.07279947480436,1.15164679657348
"Nm_4_3",6096.00475762322,6886.1599968014,0.225963969,19745.62236,16016.9494748485,1.00636408501846,1.01320195148576
"Nm_3_4",3696.23030721821,5323.65889174203,2.728117,14114.90988,6652.06499932137,1.08547133976591,1.1831929179138
"Nm_5_4",6183.91344281082,6793.23389765977,0.08302008,19675.35865,19837.0409728583,1.03062733504167,1.06106611719458
"Nm_4_5",1799.19540504768,3085.29021734824,1.5518178,5837.84586,1611.82365470236,1.39516950583118,2.40094808828152
