"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",12500000,7216742.04462672,500,23750000,13.5001350014013,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497488165806,1,3,0,Inf,NA
"lnPost",32435.1014230821,11416.6858348666,11528.301958,49188.749365,51212.5919176171,1.57450216546849,2.23329446998557
"lnDataL",-1098.64171962699,9.62171859273623,-1115.802352,-1082.492413,53066.2732255994,1.60481339061484,2.34829222856338
"lnPrbGParam",33533.7431426786,11419.8013245512,12613.747851,50286.562143,51212.6878899406,1.57481993977949,2.23390973427583
"lnPrior",-108.967140258914,9.70981588070217,-124.52668,-89.477253,50063.1944774528,2.01902640553732,3.06552627491812
"treeintervals",3092.01917593907,1008.83969484511,1198,4493,50324.684455154,1.61842717888918,2.31774930679312
"treelength",0.0680698814665182,0.0172187648581372,0.039483,0.099642,1012502.35994405,1.65373713975523,2.50527572020473
"Theta_1",0.0195472409034403,0.00744562288899257,0.00542,0.03423,54370.1150077967,1.26397609857602,1.58312097165192
"Theta_2",0.0103824692486072,0.00983316352061447,4.636e-05,0.02995,311956.317309219,1.01073320200681,1.02222874408865
"Theta_3",0.0148200420762415,0.0127646635480046,6.047e-05,0.04035,74679.8118304068,1.18005163123498,1.36551377609897
"Theta_4",0.012143634634826,0.0107254020412999,6.218e-05,0.03305,118617.497768612,1.12018186219821,1.26275902301724
"M_2_1_Into",21889.9961169772,82564.2403365889,0.07403,96946,50629.9137307317,1.74174312593789,7.74021252093903
"M_1_2_Out",508307.118001738,292584.365319353,83847,958053,50620.975575375,1.80462252620973,2.6175146616981
"M_3_2",519775.897038386,252820.264080839,105718,976724,50602.3119236366,1.4973280088458,2.10587192630425
"M_4_2",411639.058527544,240421.667093776,54353,929761,50477.5970052114,1.3399748922985,1.79049041718989
"M_2_3",321938.306992146,274544.302800615,769.51,882507,51179.3770805643,1.55836991395402,2.21714055044134
"M_4_3",421180.377594904,336931.519472637,619.39,948955,50244.0189578844,1.82531293627828,2.73909984803422
"M_2_4",292819.898510518,310766.901680748,662.95,904713,49555.3644436698,1.94216911628361,3.02869879538123
"M_3_4",463203.040205249,295057.042774103,158.19,911311,50414.8165538377,1.66500324706465,2.46536741914955
"mL_1.000000",-1099.28446088777,5.33879065991214,-1111.159045,-1092.407947,37.5650809477115,8.3585740211162,15.1615092172359
"mL_1.500000",-1131.99504192401,4.10484255372567,-1139.143868,-1125.611048,26.4683298966693,4.18101774723308,7.86366565583763
"mL_3.000000",-1263.28763958041,0.754831241857372,-1264.131149,-1262.264651,107.057234932828,5.47211303751946,9.08220546657754
"mL_100000.000000",-1487.47105443584,23.244607086275,-1532.613539,-1443.428995,21.6303860976275,6.39880409125262,13.2009701833522
"mL_thermo",-1229.53972592831,4.03217562288585,-1237.48363,-1223.250689,28.0417264631696,6.54302927161271,13.2827698346447
"mL_harmonic",-1129.13513301095,4.66902431035962,-1134.975472,-1121.588633,204.283674229904,22.504162628272,51.5693627231482
"Nm_2_1",355.223345879844,1432.53707636949,4.56999e-05,1779.51675,51929.5333685972,1.61823719948161,6.52653187878198
"Nm_1_2",5435.7609112691,6728.47067096131,4.0123612,18970.0302,69759.709096944,1.10220716221473,1.22388579850128
"Nm_3_2",5460.8312122473,6383.16134113,0.445563,18143.00268,75074.6543580035,1.09643928503194,1.19754519883947
"Nm_4_2",4257.63775905754,5346.10584480975,0.0346747478,14545.7472,59641.3511260587,1.08990497697722,1.18783545198508
"Nm_2_3",3878.59146848721,5256.47527585699,0.257369445,13945.70265,53087.2224847945,1.14595143550123,1.32525610624065
"Nm_4_3",4662.83621141325,6069.9392714871,0.0274813,16902.99576,66232.4420155365,1.14443018678124,1.30276153165321
"Nm_2_4",3228.77038755021,5472.91265092632,0.049636064,14013.96117,52001.7973994908,1.24753100545986,1.59381226552503
"Nm_3_4",5687.65825746196,7188.52902493645,1.930401,20081.52132,56225.0621778902,1.25624121618411,1.54537942130674
