"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",34999750,8660262.05540645,2e+07,48500000,13.5001126440034,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497336944129,1,3,0,Inf,NA
"lnPost",45171.6006003184,14060.220021892,20709.179427,63537.687944,359549.893096521,1.58650335808601,2.27097411510209
"lnDataL",-1738.43509080381,10.3514965158093,-1755.524513,-1719.878696,361090.793888441,2.98851215244271,6.875774944928
"lnPrbGParam",46910.0356910339,14057.0046979,22463.524984,65278.560044,359549.764382691,1.58596188304932,2.26999054827346
"lnPrior",-192.684835396102,7.71365995429876,-207.30103,-179.620727,360244.446086739,1.54392834512018,2.17569249300254
"treeintervals",4519.9566037037,1270.62874614518,2231,5977,360532.10404507,1.65538318379924,2.47483150797172
"treelength",0.04245793935,0.00735770033812232,0.028009,0.050479,284.67363380905,2.92590789225711,17.099509879021
"Theta_1",0.0109957746970185,0.0103639283208475,0.00014818,0.03163,388044.396992159,1.12677031434687,1.26704827277216
"Theta_2",0.0118182704341852,0.0102120083866602,0.00015174,0.03254,346487.788375487,1.36892766949511,1.91073042709499
"Theta_3",0.0105005913483519,0.00920709004225303,3.407e-05,0.02835,373318.649463333,1.08547220635712,1.18657018341936
"Theta_4",0.0114934118037778,0.0102191300483105,9.996e-05,0.03185,399725.406634904,1.00122208374967,1.00260284770584
"Theta_5",0.00701160151264815,0.00428047813546021,0.00045454,0.01404,337751.119684757,1.16185572380692,1.38338739727537
"M_2_1",484631.582799464,233466.476103802,90159,874343,360069.483282281,1.64640328172436,2.41575251073178
"M_3_1",373394.78107374,185600.757748289,84656,799095,360842.875832655,1.61851069546331,2.38157762870701
"M_4_1",408694.587133717,209609.449212621,28619,765721,360782.39043903,1.84568699257312,3.05776437829199
"M_1_2",168553.227507291,230726.96610648,1788.8,674151,359161.413206454,2.89165489100225,6.38913299187037
"M_4_2",145583.881476156,214096.224575398,0.5437,620325,360083.610276316,2.29815959990132,4.44900233256639
"M_1_3",450089.726640193,303748.37795308,9302.7,879366,359990.771561538,2.50908364498544,4.60278244591483
"M_4_3",301358.30379559,208985.579826667,4061.2,712926,360109.113768073,1.94727914244464,3.32069431799129
"M_5_3",278398.651376912,245647.829069151,6675.6,760732,361920.660157843,2.02314233113269,3.44477027577661
"M_1_4",528067.052277619,210840.886666777,192526,999996,361457.919023421,2.14355888573057,4.82363073870212
"M_2_4",513831.523594967,223950.171766967,2561.9,816549,361184.777566243,1.88371377732546,3.34216250390915
"M_3_4",489853.562328185,234550.109192548,159534,883440,360083.030744014,2.2718005578624,4.84742859709513
"M_5_4",607732.936653676,242954.78378099,124490,988349,356909.925847695,1.63779246514077,2.4486550597065
"M_3_5",91833.7220380564,181863.960390348,0.2466,553647,360101.43497736,3.22024197955034,15.3758551979477
"M_4_5",94910.1479791242,188623.775458156,2.2333,559386,363944.280930578,2.84066622733036,13.2133485251357
"mL_1.000000",-1740.66673683393,6.36054558777921,-1753.848292,-1730.729709,13.9366034652853,25.7025126376026,45.228328002638
"mL_1.500000",-1761.10092358236,7.36888148495686,-1776.372883,-1748.500163,13.5877699015826,17.8781358583455,29.6569116229637
"mL_3.000000",-1944.87083393394,0.470993036957009,-1945.619866,-1943.902953,15.8980695748387,3.00516571619205,5.14957053613287
"mL_100000.000000",-2771.17867628324,18.0995620939675,-2805.286945,-2743.173465,10.3582111966552,8.38107315128513,14.8390320777378
"mL_thermo",-1987.27457444439,2.53609410339752,-1992.575516,-1983.438246,12.5861359812345,5.8741990558758,9.31449439970065
"mL_harmonic",-1758.88866595389,5.91524011889746,-1767.015103,-1748.211546,18.2790609249168,2.81082356368354,16.2931197982716
"Nm_2_1",5417.15049308959,6315.9710909597,0.4443855624,18062.70326,362693.343120656,1.16723446415065,1.35929096114688
"Nm_3_1",4156.93810215585,4862.79128590656,0.0920258795,13527.79136,360673.091356721,1.13853601163876,1.30642486403262
"Nm_4_1",4323.39726276296,5264.48568906133,17.000958,14734.09562,367020.16949973,1.15285827569138,1.33746386914717
"Nm_1_2",1753.53573600141,3680.30330085723,0.479118,8640.6429,351458.386470548,1.57509545062488,3.19169384032497
"Nm_4_2",1551.86226170334,3371.24845976317,0.003082779,7289.5167,356732.13757314,1.57727548089183,3.80479712783415
"Nm_1_3",4683.93605334315,6325.64216491304,0.0075951468,17440.95552,364067.362209439,1.27195117935607,1.62920612145497
"Nm_4_3",3148.13200647934,4282.95561200373,0.003775068365,11483.43165,362083.35815106,1.21934224296328,1.52326434700723
"Nm_5_3",2921.75843228918,4495.28092109438,0.015685821,11772.4672,362405.576254347,1.31870776544114,1.82856140125027
"Nm_1_4",6062.26921203361,6297.2848546499,2.8995447,18318.18888,365910.461883985,1.09440668811448,1.18810369864013
"Nm_2_4",5885.76876110682,6279.86130813865,0.05443074,18345.78965,366659.22451781,1.09035718152659,1.19319493992777
"Nm_3_4",5635.81420738794,6199.77322631534,22.47116652,17889.70358,364203.133567571,1.13399184338218,1.28929275386826
"Nm_5_4",6964.53347704291,7227.30325581546,0.067981563,21233.70669,369180.005121115,1.0780369067348,1.15927626016187
"Nm_3_5",639.513938430418,1818.56631632937,0.002690406,3498.28128,345108.790968636,1.54994246421402,3.57586814026357
"Nm_4_5",666.076208401164,1892.2200308523,5.0848e-06,3833.58752,350575.174683849,1.52193017587367,3.22339684741607
